filename,width,height,class,xmin,ymin,xmax,ymax
grid_3_jpg.rf.a93a759bcad5eff2691a5f5e88276745.jpg,1280,1280,Old Woman,371,981,378,996
grid_3_jpg.rf.a93a759bcad5eff2691a5f5e88276745.jpg,1280,1280,Young Man,958,911,968,925
grid_3_jpg.rf.a93a759bcad5eff2691a5f5e88276745.jpg,1280,1280,Young Woman,943,930,950,944
grid_3_jpg.rf.a93a759bcad5eff2691a5f5e88276745.jpg,1280,1280,Old Woman,293,408,302,422
grid_3_jpg.rf.a93a759bcad5eff2691a5f5e88276745.jpg,1280,1280,SUV,935,223,966,310
grid_72_jpg.rf.aae2cdea4c566e3f5ccaa63e5b5f392a.jpg,1280,1280,Hatchback,335,158,355,238
grid_72_jpg.rf.aae2cdea4c566e3f5ccaa63e5b5f392a.jpg,1280,1280,Truck,955,316,1002,355
grid_72_jpg.rf.aae2cdea4c566e3f5ccaa63e5b5f392a.jpg,1280,1280,Cargo Truck,901,102,985,246
grid_72_jpg.rf.aae2cdea4c566e3f5ccaa63e5b5f392a.jpg,1280,1280,SUV,313,970,345,1057
grid_72_jpg.rf.aae2cdea4c566e3f5ccaa63e5b5f392a.jpg,1280,1280,Old Woman,866,950,876,962
grid_61_jpg.rf.a9ac5bd14e0b28592398af53aaaf8c71.jpg,1280,1280,Old Woman,230,407,240,420
grid_61_jpg.rf.a9ac5bd14e0b28592398af53aaaf8c71.jpg,1280,1280,Truck,214,341,261,379
grid_61_jpg.rf.a9ac5bd14e0b28592398af53aaaf8c71.jpg,1280,1280,Old Woman,932,402,939,414
grid_61_jpg.rf.a9ac5bd14e0b28592398af53aaaf8c71.jpg,1280,1280,Old Man,926,421,935,434
grid_61_jpg.rf.a9ac5bd14e0b28592398af53aaaf8c71.jpg,1280,1280,SUV,301,1118,336,1206
grid_61_jpg.rf.a9ac5bd14e0b28592398af53aaaf8c71.jpg,1280,1280,Cargo Truck,340,965,382,1114
grid_61_jpg.rf.a9ac5bd14e0b28592398af53aaaf8c71.jpg,1280,1280,Hatchback,851,926,895,991
grid_61_jpg.rf.a9ac5bd14e0b28592398af53aaaf8c71.jpg,1280,1280,Young Woman,861,993,869,1007
